x,y,s,kappa
-2.3907,-3.7684,14.6751,-0.21414
-2.3397,-3.6826,14.7749,-0.15598
-2.2873,-3.5976,14.8747,-0.11903
-2.234,-3.5132,14.9746,-0.09558
-2.1799,-3.4293,15.0744,-0.05749
-2.1252,-3.3457,15.1743,-0.02368
-2.0704,-3.2623,15.2741,0.0051
-2.0156,-3.1788,15.374,0.018
-1.961,-3.0952,15.4738,0.02295
-1.9066,-3.0115,15.5737,0.03233
-1.8524,-2.9276,15.6735,0.04736
-1.7986,-2.8435,15.7734,0.08323
-1.7456,-2.7589,15.8732,0.12968
-1.6936,-2.6737,15.973,0.17649
-1.6431,-2.5875,16.0729,0.22916
-1.5947,-2.5003,16.1727,0.28157
-1.5487,-2.4116,16.2725,0.33158
-1.5056,-2.3216,16.3724,0.39477
-1.4662,-2.2299,16.4722,0.46041
-1.431,-2.1365,16.572,0.51639
-1.4006,-2.0414,16.6718,0.55762
-1.3756,-1.9448,16.7716,0.57381
-1.3562,-1.8469,16.8714,0.56252
-1.3423,-1.748,16.9713,0.52971
-1.3337,-1.6485,17.0711,0.53005
-1.3303,-1.5488,17.1709,0.452
-1.3314,-1.4489,17.2708,0.39886
-1.3365,-1.3492,17.3706,0.35113
-1.3451,-1.2498,17.4704,0.31711
-1.3568,-1.1506,17.5703,0.2774
-1.3713,-1.0518,17.6701,0.23414
-1.388,-0.9534,17.77,0.18641
-1.4067,-0.8553,17.8698,0.13087
-1.4265,-0.7575,17.9696,0.06865
-1.4471,-0.6598,18.0695,0.00851
-1.4677,-0.5621,18.1693,-0.04312
-1.488,-0.4643,18.2692,-0.08163
-1.5074,-0.3664,18.369,-0.08993
-1.5259,-0.2683,18.4689,-0.06196
-1.5439,-0.17,18.5687,-0.00029
-1.5618,-0.0718,18.6686,0.08629
-1.5806,0.0262,18.7684,0.18499
-1.6011,0.1239,18.8682,0.28068
-1.6245,0.221,18.9681,0.35394
-1.6512,0.3172,19.0679,0.37985
-1.6815,0.4123,19.1677,0.33712
-1.7151,0.5063,19.2676,0.23086
-1.7508,0.5996,19.3674,0.14685
-1.7878,0.6923,19.4673,0.08474
-1.8257,0.7847,19.5671,0.02607
-1.8638,0.877,19.667,-0.01378
-1.9017,0.9693,19.7668,-0.04662
-1.9393,1.0619,19.8667,-0.09052
-1.976,1.1547,19.9665,-0.13719
-2.0114,1.2481,20.0663,-0.17893
-2.0451,1.342,20.1662,-0.20823
-2.0769,1.4367,20.266,-0.23896
-2.1064,1.5321,20.3659,-0.26175
-2.1334,1.6282,20.4657,-0.26167
-2.1579,1.725,20.5655,-0.23922
-2.1801,1.8223,20.6654,-0.21249
-2.2002,1.9201,20.7652,-0.16991
-2.2186,2.0182,20.8651,-0.13207
-2.2358,2.1166,20.9649,-0.10177
-2.2519,2.2151,21.0647,-0.07984
-2.2673,2.3138,21.1646,-0.06648
-2.282,2.4125,21.2644,-0.04435
-2.2963,2.5113,21.3643,-0.05438
-2.31,2.6102,21.4641,-0.0766
-2.323,2.7092,21.564,-0.10786
-2.3349,2.8084,21.6638,-0.12834
-2.3455,2.9076,21.7637,-0.13868
-2.3548,3.0071,21.8635,-0.14512
-2.3626,3.1066,21.9633,-0.15228
-2.3689,3.2062,22.0632,-0.20284
-2.3732,3.306,22.163,-0.26721
-2.3748,3.4058,22.2629,-0.31755
-2.3733,3.5056,22.3627,-0.36541
-2.3681,3.6053,22.4625,-0.4155
-2.3588,3.7047,22.5623,-0.46745
-2.3448,3.8035,22.6622,-0.51992
-2.3258,3.9015,22.762,-0.56481
-2.3013,3.9982,22.8618,-0.60244
-2.271,4.0933,22.9615,-0.63243
-2.2347,4.1863,23.0613,-0.64816
-2.1926,4.2768,23.1611,-0.6508
-2.1446,4.3643,23.2609,-0.64736
-2.0911,4.4485,23.3607,-0.65693
-2.0322,4.5291,23.4606,-0.67708
-1.9679,4.6055,23.5604,-0.68905
-1.8986,4.6773,23.6602,-0.72744
-1.8242,4.7439,23.7601,-0.7352
-1.7452,4.8049,23.8599,-0.72486
-1.6619,4.86,23.9597,-0.75403
-1.5748,4.9086,24.0595,-0.77087
-1.4842,4.9504,24.1593,-0.77152
-1.3906,4.9852,24.2591,-0.75115
-1.2947,5.0128,24.3589,-0.7113
-1.1971,5.0335,24.4586,-0.65554
-1.0984,5.0478,24.5584,-0.60223
-0.9989,5.0562,24.6582,-0.56897
-0.8992,5.0589,24.758,-0.55629
-0.7994,5.056,24.8578,-0.56432
